#SampleID	ERR2219330	ERR2219331	ERR2219332	ERR2219333	ERR2219334	ERR2219335	ERR2219336	ERR2219337	ERR2219338	ERR2219339	ERR2219340	ERR2219341	ERR2219342	ERR2219343	ERR2219344	ERR2219345	ERR2219346	ERR2219347	ERR2219348	ERR2219349	ERR2219350	ERR2219351	ERR2219352
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales	0	1.0	0	2.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	1.0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Bryobacteraceae	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Bryobacteraceae;g__Bryobacter	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus_Solibacter	0	1.0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria	3.0	10.0	9.0	6.0	1.0	3.0	5.0	3.0	24.0	11.0	18.0	8.0	21.0	12.0	5.0	14.0	17.0	15.0	16.0	8.0	4.0	14.0	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia	2.0	3.0	0	3.0	1.0	2.0	0	2.0	1.0	2.0	0	2.0	1.0	0	1.0	1.0	2.0	1.0	1.0	1.0	0	1.0	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ilumatobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria	4.0	3.0	2.0	3.0	1.0	1.0	0	8.0	4.0	0	0	4.0	1.0	4.0	5.0	17.0	2.0	2.0	2.0	10.0	0	1.0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Acidothermales	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Acidothermales;f__Acidothermaceae	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Acidothermales;f__Acidothermaceae;g__Acidothermus	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	1.0	2.0	2.0	0	0	0	1.0	3.0	0	0	1.0	0	0	1.0	0	0	1.0	1.0	0	0	1.0	2.0	1.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	2.0	1.0	2.0	0	0	0	1.0	2.0	1.0	0	3.0	2.0	2.0	2.0	5.0	0	1.0	1.0	0	2.0	1.0	1.0	2.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	56.0	68.0	20.0	37.0	16.0	31.0	44.0	36.0	29.0	33.0	24.0	42.0	32.0	23.0	151.0	38.0	40.0	48.0	26.0	38.0	33.0	48.0	48.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus	2.0	1.0	1.0	0	0	1.0	0	1.0	0	1.0	0	1.0	2.0	0	1.0	0	2.0	0	0	0	1.0	1.0	1.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	1.0	1.0	0	0	1.0	1.0	0	3.0	3.0	3.0	5.0	3.0	1.0	1.0	1.0	5.0	3.0	0	5.0	4.0	1.0	4.0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	2.0	2.0	2.0	2.0	1.0	1.0	0	14.0	10.0	11.0	4.0	1.0	5.0	6.0	8.0	14.0	7.0	3.0	12.0	14.0	1.0	6.0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	20.0	14.0	9.0	13.0	8.0	95.0	23.0	248.0	299.0	218.0	232.0	54.0	187.0	172.0	220.0	644.0	238.0	44.0	423.0	611.0	49.0	89.0	31.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Candidatus_Actinomarinales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Candidatus_Actinomarinales;f__Candidatus_Actinomarinaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Candidatus_Actinomarinales;f__Candidatus_Actinomarinaceae;g__Candidatus_Actinomarina	3.0	1.0	1.0	1.0	0	1.0	0	1.0	0	0	1.0	0	0	0	0	0	1.0	1.0	0	1.0	0	0	1.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales	0	2.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae	33.0	34.0	9.0	1.0	3.0	0	0	3.0	0	0	0	1.0	0	0	5.0	4.0	4.0	2.0	6.0	8.0	2.0	0	1.0
